dataset,target,epsilon,seed,stuck_value,true_bucket,fault_rate,mode,method,n_test,auroc,auprc,r_error,bucket_error,bucket_acc,js,wasserstein,runtime_sec
UCI Air Quality,C6H6(GT),1.0,0,0.84375,29,0.3,iid,random,1799,0.5003191833612802,0.2921324728825127,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,iid,mixture,1799,0.6916909363692525,0.46788479108602654,0.03660377358490563,0,1.0,0.04296587700276243,0.10183109115356266,0.01225157298904378
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,iid,hmm,1799,0.5744123790192098,0.35619716065272533,0.11104636460742068,0,1.0,0.04296587700276243,0.10183109115356266,0.3674705029989127
UCI Air Quality,C6H6(GT),1.0,1,0.84375,29,0.3,iid,random,1799,0.4956976436325126,0.29168324278799584,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,iid,mixture,1799,0.7051937163533668,0.4639689074914451,0.011761006289308151,1,0.0,0.04296587700276243,0.10183109115356266,0.012394713005051017
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,iid,hmm,1799,0.5949548436442796,0.3733054073201735,0.07796548324972283,1,0.0,0.04296587700276243,0.10183109115356266,0.3661670159926871
UCI Air Quality,C6H6(GT),1.0,2,0.84375,29,0.3,iid,random,1799,0.47832789103638984,0.2915444540412683,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,iid,mixture,1799,0.7333759891742417,0.49546563909882463,0.0031446540880503693,0,1.0,0.04296587700276243,0.10183109115356266,0.012240195006597787
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,iid,hmm,1799,0.6035301385579385,0.3775336687871207,0.10142333518792118,1,0.0,0.04296587700276243,0.10183109115356266,0.37316178099717945
UCI Air Quality,C6H6(GT),1.0,3,0.84375,29,0.3,iid,random,1799,0.4953313917571264,0.2970137712182609,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,iid,mixture,1799,0.716412202512282,0.4756324236922473,0.0031446540880503693,1,0.0,0.04296587700276243,0.10183109115356266,0.012362285997369327
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,iid,hmm,1799,0.575175771482364,0.3533718482153481,0.07476591029501684,0,1.0,0.04296587700276243,0.10183109115356266,0.36785772199800704
UCI Air Quality,C6H6(GT),1.0,4,0.84375,29,0.3,iid,random,1799,0.5150310358014886,0.3119917663301416,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,0,0.03125,16,0.3,segment,mixture,1799,0.7076574588885948,0.4898288061760085,0.13597484276729557,0,1.0,0.04296587700276243,0.10183109115356266,0.012121328007197008
