panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,1,channel_window_glr,1200,240,0.2,0.6553016493055556,0.34105665080226233,31,0.1975,0.015232600009767339,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,1,channel_spike_score,1200,240,0.2,0.490625,0.19713235294117648,0,0.030534017621549826,0.0006743999983882532,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,1,privsaf_mixture,1200,240,0.2,0.45729166666666665,0.18794117647058825,1,0.476969696969697,0.011538400009158067,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,1,privsaf_hmm,1200,240,0.2,0.23536024305555558,0.14948224935039217,0,0.25469225723053046,0.3677139000064926,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,2,channel_window_glr,1200,240,0.2,0.6059917534722222,0.29494606595937123,31,0.15583333333333332,0.016745800006901845,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,2,channel_spike_score,1200,240,0.2,0.5211718750000001,0.21585755635357445,0,0.04055261456170198,0.0005689999961759895,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,2,privsaf_mixture,1200,240,0.2,0.4931119791666667,0.2050837549018389,7,0.7,0.01243360000080429,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,bias,0.5,2,privsaf_hmm,1200,240,0.2,0.4859809027777778,0.269019375778613,7,0.2597197688176388,0.36941709999518935,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,2,channel_window_glr,1200,240,0.2,0.47577039930555554,0.19105202245954792,31,0.19583333333333333,0.015367300002253614,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,2,channel_spike_score,1200,240,0.2,0.5197916666666667,0.20693200663349917,0,0.030084987950644678,0.0005228999943938106,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,2,privsaf_mixture,1200,240,0.2,0.48906249999999996,0.1966087278106509,2,0.19818181818181818,0.01126319999457337,,48.0,0.35,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,bias,0.5,2,privsaf_hmm,1200,240,0.2,0.3592578125,0.14683284976887087,6,0.20428394312613976,0.36910229999921285,,48.0,0.35,,
